Merchant ID,Merchant Criteria,Merchant Type
X610005443,(UMI) Usaha Mikro,Restaurants
X610005869,(UMI) Usaha Mikro,Miscellaneous
X314022534,(UKE) Usaha Kecil,Food & Beverages
X612400459,(UKE) Usaha Kecil,Miscellaneous
X614400335,(UKE) Usaha Kecil,Miscellaneous
X614002974,(UMI) Usaha Mikro,Restaurants
X610002918,(UMI) Usaha Mikro,Miscellaneous
X608000375,(UKE) Usaha Kecil,Restaurants
X608001739,(UKE) Usaha Kecil,Food & Beverages
X602500017,(UBE) Usaha Besar,Health Service
X602500035,(UBE) Usaha Besar,Health Service
X604500022,(UBE) Usaha Besar,Health Service
X604500025,(UBE) Usaha Besar,Health Service
X604500042,(UBE) Usaha Besar,Health Service
X607500009,(UBE) Usaha Besar,Health Service
X607500022,(UBE) Usaha Besar,Health Service
X609500000,(UBE) Usaha Besar,Health Service
X609500048,(UBE) Usaha Besar,Health Service
X610500012,(UBE) Usaha Besar,Health Service
X610500018,(UBE) Usaha Besar,Health Service
X612500005,(UBE) Usaha Besar,Health Service
X614500004,(UBE) Usaha Besar,Health Service
X614500020,(UBE) Usaha Besar,Health Service
X614500052,(UBE) Usaha Besar,Health Service
X615500011,(UBE) Usaha Besar,Health Service
X615500015,(UBE) Usaha Besar,Health Service
X615500023,(UBE) Usaha Besar,Health Service
X615500029,(UBE) Usaha Besar,Health Service
X615500046,(UBE) Usaha Besar,Health Service
X617500001,(UBE) Usaha Besar,Health Service
X617500002,(UBE) Usaha Besar,Health Service
X609001879,(UKE) Usaha Kecil,Restaurants
X611001042,(UKE) Usaha Kecil,Restaurants
X611001498,(UKE) Usaha Kecil,Restaurants
X612000012,(UKE) Usaha Kecil,Restaurants
X614000097,(UKE) Usaha Kecil,Restaurants
X614000106,(UKE) Usaha Kecil,Restaurants
X614000633,(UKE) Usaha Kecil,Restaurants
X614000895,(UKE) Usaha Kecil,Restaurants
X602002632,(UME) Usaha Menengah,Restaurants
X617003301,(UMI) Usaha Mikro,Restaurants
X614002679,(UKE) Usaha Kecil,Restaurants
X615000477,(UKE) Usaha Kecil,Restaurants
X615001506,(UKE) Usaha Kecil,Restaurants
X615001640,(UKE) Usaha Kecil,Restaurants
X615001750,(UKE) Usaha Kecil,Restaurants
X615002540,(UKE) Usaha Kecil,Restaurants
X615002642,(UKE) Usaha Kecil,Restaurants
X617002195,(UKE) Usaha Kecil,Restaurants
X617003277,(UME) Usaha Menengah,Miscellaneous
X602002664,(UMI) Usaha Mikro,Restaurants
X608002645,(UMI) Usaha Mikro,Miscellaneous
X608002647,(UMI) Usaha Mikro,Miscellaneous
X610001562,(UKE) Usaha Kecil,Community Agencies
X610001434,(UKE) Usaha Kecil,Restaurants
X610001391,(UKE) Usaha Kecil,Restaurants
X610001396,(UKE) Usaha Kecil,Restaurants
X610001401,(UKE) Usaha Kecil,Restaurants
X610001413,(UKE) Usaha Kecil,Restaurants
X610001416,(UKE) Usaha Kecil,Restaurants
X610001451,(UKE) Usaha Kecil,Restaurants
X615002714,(UMI) Usaha Mikro,Restaurants
X608002775,(UMI) Usaha Mikro,Miscellaneous
X611001953,(UKE) Usaha Kecil,Restaurants
X617003749,(UMI) Usaha Mikro,Restaurants
X607001888,(UMI) Usaha Mikro,Restaurants
X607001887,(UMI) Usaha Mikro,Restaurants
X607001881,(UMI) Usaha Mikro,Restaurants
X607001868,(UMI) Usaha Mikro,Restaurants
X610001537,(UKE) Usaha Kecil,Restaurants
X610001567,(UKE) Usaha Kecil,Restaurants
X607001830,(UMI) Usaha Mikro,Community Agencies
X610001576,(UKE) Usaha Kecil,Restaurants
X615002888,(UBE) Usaha Besar,Transportation
X614003936,(UBE) Usaha Besar,Transportation
X610002042,(UBE) Usaha Besar,Transportation
X608002657,(UMI) Usaha Mikro,Restaurants
X607001930,(UKE) Usaha Kecil,Restaurants
X608002899,(UMI) Usaha Mikro,Restaurants
X606002048,(UBE) Usaha Besar,Transportation
X614003386,(UMI) Usaha Mikro,Restaurants
X614003131,(UMI) Usaha Mikro,Health Service
X614003420,(UMI) Usaha Mikro,Community Agencies
X606500021,(UBE) Usaha Besar,Health Service
X606500023,(UBE) Usaha Besar,Health Service
X606500040,(UBE) Usaha Besar,Health Service
X606500051,(UBE) Usaha Besar,Health Service
X606500056,(UBE) Usaha Besar,Health Service
X606500081,(UBE) Usaha Besar,Health Service
X606500086,(UBE) Usaha Besar,Health Service
X604500086,(UBE) Usaha Besar,Health Service
X605500018,(UBE) Usaha Besar,Health Service
X605500019,(UBE) Usaha Besar,Health Service
